id,name,requestedBy,blueprintId,deploymentId,resourceIds,inputs,status,details,createdAt,updatedAt,totalTasks,completedTasks,actionId,catalogItemId,outputs
8b158ff5-376e-4722-a9b9-02c1164ecd1f,Update,administrator,"add nic test","nic test",['548e0d6a-0583-41ef-abbc-789e72c73fd8'],"{'nic1_count': 1, 'nic2_count': 0}",SUCCESSFUL,,2023-07-12T00:11:49.701714Z,2023-07-12T00:22:27.403032Z,5,5,,,

a1287b4e-18d5-4342-8a41-f7ecce16652d,Create,administrator,"add nic test","nic test","['83983c82-148f-4099-a93a-c5766eb78985', '26d91092-f131-4ced-b7c3-b547bcb21419']","{'nic1_count': 1, 'nic2_count': 0}",FAILED,Failed to connect to vCenter. com.vmware.photon.controller.model.adapters.vsphere.util.connection.BasicConnection$BasicConnectionException: Failed to connect to vCenter: Your certificate may be untrusted. To trust the certificate validate your account credentials and accept the untrusted certificate.  Save your cloud account after validation succeeds. Error: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,2023-07-12T00:07:11.288336Z,2023-07-12T00:08:46.935136Z,7,6,,,

ffd9b2e4-8dc7-42ab-b121-d7494e44fca1,Create,administrator,"add nic test orginal","test12",['af52d1d1-612a-47a9-8210-9b4ab3956438'],"{'nic1_count': 0, 'nic2_count': 0}",SUCCESSFUL,,2023-06-16T21:50:24.611235Z,2023-06-18T22:21:49.683639Z,5,5,,,

4ad5e10d-9866-4189-a181-2b4c08ea0b17,Revert To Snapshot,administrator,,"maks0",['f99e8bb8-9458-465d-a5d0-be4304ccc981'],{'snapshotId': '/resources/snapshots/250f9ccb-38a5-4bd9-b0c3-a864faba8f25'},SUCCESSFUL,,2023-05-16T18:04:09.596068Z,2023-05-16T18:05:12.626281Z,2,2,Cloud.vSphere.Machine.Snapshot.Revert,,

4bbd30f9-0cbf-427f-b397-f0b37cdca9bb,Delete Snapshot,administrator,,"maks0",['f99e8bb8-9458-465d-a5d0-be4304ccc981'],{'snapshotId': '/resources/snapshots/d83089d5-4a6f-4313-8d38-0a31dc481944'},SUCCESSFUL,,2023-05-16T18:01:44.596404Z,2023-05-16T18:02:20.525735Z,2,2,Cloud.vSphere.Machine.Snapshot.Delete,,

41c919c4-2c03-4241-abb0-e7acf308d230,Create Snapshot,administrator,,"maks0",['f99e8bb8-9458-465d-a5d0-be4304ccc981'],"{'name': 'another', 'memorySnapshot': False}",SUCCESSFUL,,2023-05-16T18:00:20.441020Z,2023-05-16T18:00:52.113252Z,2,2,Cloud.vSphere.Machine.Snapshot.Create,,

d95088fa-dc54-4445-a3cf-ca8b5e1f5fa4,Revert To Snapshot,administrator,,"maks0",['f99e8bb8-9458-465d-a5d0-be4304ccc981'],{'snapshotId': '/resources/snapshots/d83089d5-4a6f-4313-8d38-0a31dc481944'},SUCCESSFUL,,2023-05-16T17:57:23.240733Z,2023-05-16T17:57:43.505783Z,2,2,Cloud.vSphere.Machine.Snapshot.Revert,,

